,Unnamed: 0,query_file,query_type,target_embedding_type,smallest_k_matched
215,215,TEXT_sw_0_7_s_0_7_cc_0_query.json,specs,text_0_2_4_llm_fs_single,9
216,216,TEXT_sw_0_7_s_0_7_cc_0_query.json,specs,image,10
217,217,overview-landing_oc_query3.json,specs,spec_frequency,19
218,218,overview-landing_oc_query3.json,specs,spec_onehot,19
219,219,overview-landing_oc_query3.json,specs,spec,318
220,220,overview-landing_oc_query3.json,specs,text,2375
221,221,overview-landing_oc_query3.json,specs,text_0_2_4,2365
222,222,overview-landing_oc_query3.json,specs,text_0_2_4_llm_fs_single,820
223,223,overview-landing_oc_query3.json,specs,image,672
224,224,POINT_sw_0_7_s_1_2_cc_1_query.json,specs,spec_frequency,6
225,225,POINT_sw_0_7_s_1_2_cc_1_query.json,specs,spec_onehot,1
226,226,POINT_sw_0_7_s_1_2_cc_1_query.json,specs,spec,95
227,227,POINT_sw_0_7_s_1_2_cc_1_query.json,specs,text,291
228,228,POINT_sw_0_7_s_1_2_cc_1_query.json,specs,text_0_2_4,318
229,229,POINT_sw_0_7_s_1_2_cc_1_query.json,specs,text_0_2_4_llm_fs_single,41
230,230,POINT_sw_0_7_s_1_2_cc_1_query.json,specs,image,79
231,231,circular-heat_p_0_sw_1_2_s_1_0_oc_query.json,specs,spec_frequency,1
232,232,circular-heat_p_0_sw_1_2_s_1_0_oc_query.json,specs,spec_onehot,1
233,233,circular-heat_p_0_sw_1_2_s_1_0_oc_query.json,specs,spec,825
234,234,circular-heat_p_0_sw_1_2_s_1_0_oc_query.json,specs,text,1557
235,235,circular-heat_p_0_sw_1_2_s_1_0_oc_query.json,specs,text_0_2_4,1531
236,236,circular-heat_p_0_sw_1_2_s_1_0_oc_query.json,specs,text_0_2_4_llm_fs_single,7
237,237,circular-heat_p_0_sw_1_2_s_1_0_oc_query.json,specs,image,3159
238,238,band_connection_p_0_sw_1_0_s_1_0_oc_query.json,specs,spec_frequency,4
239,239,band_connection_p_0_sw_1_0_s_1_0_oc_query.json,specs,spec_onehot,2
240,240,band_connection_p_0_sw_1_0_s_1_0_oc_query.json,specs,spec,1
241,241,band_connection_p_0_sw_1_0_s_1_0_oc_query.json,specs,text,3036
242,242,band_connection_p_0_sw_1_0_s_1_0_oc_query.json,specs,text_0_2_4,3044
243,243,band_connection_p_0_sw_1_0_s_1_0_oc_query.json,specs,text_0_2_4_llm_fs_single,1395
244,244,band_connection_p_0_sw_1_0_s_1_0_oc_query.json,specs,image,2390
245,245,EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query2.json,specs,spec_frequency,1
246,246,EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query2.json,specs,spec_onehot,3
247,247,EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query2.json,specs,spec,1
248,248,EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query2.json,specs,text,2065
249,249,EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query2.json,specs,text_0_2_4,1975
250,250,EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query2.json,specs,text_0_2_4_llm_fs_single,673
251,251,EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query2.json,specs,image,168
252,252,EX_SPEC_MARK_DISPLACEMENT_sw_1_0_s_1_0_oc_query2.json,specs,spec_frequency,1
253,253,EX_SPEC_MARK_DISPLACEMENT_sw_1_0_s_1_0_oc_query2.json,specs,spec_onehot,1
254,254,EX_SPEC_MARK_DISPLACEMENT_sw_1_0_s_1_0_oc_query2.json,specs,spec,655
255,255,EX_SPEC_MARK_DISPLACEMENT_sw_1_0_s_1_0_oc_query2.json,specs,text,526
256,256,EX_SPEC_MARK_DISPLACEMENT_sw_1_0_s_1_0_oc_query2.json,specs,text_0_2_4,1488
257,257,EX_SPEC_MARK_DISPLACEMENT_sw_1_0_s_1_0_oc_query2.json,specs,text_0_2_4_llm_fs_single,47
258,258,EX_SPEC_MARK_DISPLACEMENT_sw_1_0_s_1_0_oc_query2.json,specs,image,358
259,259,circulars_p_4_oc_query1.json,specs,spec_frequency,9
260,260,circulars_p_4_oc_query1.json,specs,spec_onehot,169
261,261,circulars_p_4_oc_query1.json,specs,spec,772
262,262,circulars_p_4_oc_query1.json,specs,text,893
263,263,circulars_p_4_oc_query1.json,specs,text_0_2_4,909
264,264,circulars_p_4_oc_query1.json,specs,text_0_2_4_llm_fs_single,173
265,265,circulars_p_4_oc_query1.json,specs,image,933
266,266,circular-point-second_p_0_sw_0_7_s_1_2_cc_0_query.json,specs,spec_frequency,1
267,267,circular-point-second_p_0_sw_0_7_s_1_2_cc_0_query.json,specs,spec_onehot,1
268,268,circular-point-second_p_0_sw_0_7_s_1_2_cc_0_query.json,specs,spec,41
269,269,circular-point-second_p_0_sw_0_7_s_1_2_cc_0_query.json,specs,text,1269
270,270,circular-point-second_p_0_sw_0_7_s_1_2_cc_0_query.json,specs,text_0_2_4,1213
271,271,circular-point-second_p_0_sw_0_7_s_1_2_cc_0_query.json,specs,text_0_2_4_llm_fs_single,25
272,272,circular-point-second_p_0_sw_0_7_s_1_2_cc_0_query.json,specs,image,1238
273,273,stratified-bar-alt_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,spec_frequency,1
274,274,stratified-bar-alt_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,spec_onehot,1
275,275,stratified-bar-alt_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,spec,39
276,276,stratified-bar-alt_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,text,2083
277,277,stratified-bar-alt_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,text_0_2_4,2053
278,278,stratified-bar-alt_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,text_0_2_4_llm_fs_single,653
279,279,stratified-bar-alt_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,image,174
280,280,basic-link_p_0_sw_1_2_s_1_0_oc_query.json,specs,spec_frequency,2
281,281,basic-link_p_0_sw_1_2_s_1_0_oc_query.json,specs,spec_onehot,6
282,282,basic-link_p_0_sw_1_2_s_1_0_oc_query.json,specs,spec,22
